"","logFC","logCPM","F","PValue"
"transcript:SPU_013939-tr",-0.222542232358133,0.392473177221229,0.34106520273099,0.559974994631311
"transcript:SPU_013942-tr",-0.257280431616269,3.94601050673102,5.30053241547603,0.0225089166693318
"transcript:SPU_013943-tr",0.176973908919286,1.18149872809299,0.382830674436427,0.53697259683314
"transcript:SPU_013944-tr",-0.0338630058457127,4.6486825922104,0.128694342820716,0.720226647476559
"transcript:SPU_015248-tr",0.287924488973864,3.58918686536524,5.38737617048327,0.021448052256951
"transcript:SPU_015247-tr",0.00269635166893545,3.88667981181737,0.000601182103189244,0.98046684809628
"transcript:SPU_015249-tr",0.026770389976138,5.35669604168601,0.113578184352958,0.73651474021446
"transcript:SPU_013931-tr",-0.00625871017536963,1.69766578081178,0.000773686434749025,0.977841557050654
"transcript:SPU_003824-tr",0.305120688877761,2.00577195102174,1.80449267350135,0.184064736831671
"transcript:SPU_000352-tr",-0.107224851110456,3.19385663386769,0.622094209031515,0.431348614082185
"transcript:SPU_015215-tr",0.531610293043777,1.80189267807335,5.84925925010208,0.0166196635268839
"transcript:SPU_023492-tr",-0.0131418278152211,2.97912071526265,0.00839731036912235,0.92709250139405
"transcript:SPU_018707-tr",0.500893645607407,3.61700900876529,15.7088749841422,0.000107872528608702
"transcript:SPU_018705-tr",-0.13178759221039,6.43848308952911,3.10504517998966,0.0822300314364468
"transcript:SPU_018706-tr",0.461418759874968,1.9293684398786,4.53044534816477,0.0347382872897881
"transcript:SPU_024657-tr",0.10124862863629,2.42088538750587,0.338959473447598,0.561187692539752
"transcript:SPU_024658-tr",-0.0512520822913661,5.92685238275364,0.535073471585867,0.465470360384169
"transcript:SPU_024656-tr",0.0343767832217598,1.5795556360437,0.0216634946444859,0.883157036034891
"transcript:SPU_019607-tr",0.363206111532966,0.147381726936434,0.87746093451757,0.350202621158709
"transcript:SPU_026082-tr",0.128768749320685,5.27690325639686,2.63495278934754,0.106354208911256
"transcript:SPU_026084-tr",0.0410765266665702,5.20824863060934,0.237496121663125,0.626636785503433
"transcript:SPU_026083-tr",-0.183844972784129,3.08548160995894,1.57881354100685,0.210624060141128
"transcript:SPU_014818-tr",-0.104413537024454,2.35980929524105,0.286022053020541,0.594399821167259
"transcript:SPU_020782-tr",-0.074770917358119,4.75489136769225,0.705394573194789,0.402135027491116
"transcript:SPU_011714-tr",0.15879087006603,7.9099358258065,6.91635464418661,0.00931029698152355
"transcript:SPU_011715-tr",-0.253440187898775,3.96391358720451,5.07889332821017,0.0254819074527749
