geneid,binom
SPU_001282,0
SPU_001284,0
SPU_001285,0
SPU_001286,0
SPU_001287,0
SPU_001288,0
SPU_001289,0
SPU_001291,0
SPU_001293,0
SPU_001295,0
SPU_001296,0
SPU_001297,0
SPU_001298,0
SPU_001304,0
SPU_001305,0
SPU_001307,0
SPU_001308,0
SPU_001309,0
SPU_001310,0
SPU_001311,0
SPU_001312,0
SPU_001313,0
SPU_001315,0
SPU_001316,0
SPU_001317,0
SPU_001320,0
SPU_001324,0
SPU_001327,0
SPU_001328,0
SPU_001329,0
SPU_001330,0
SPU_001331,0
SPU_001332,0
SPU_001334,0
SPU_001335,0
SPU_001336,0
SPU_001337,0
SPU_001338,0
SPU_001339,0
SPU_001340,0
SPU_001341,0
SPU_001344,0
SPU_001346,0
SPU_001347,0
SPU_001348,0
SPU_001349,0
SPU_001350,0
SPU_001352,0
SPU_001353,0
SPU_001356,0
SPU_001357,0
SPU_001358,0
SPU_001360,0
SPU_001361,0
SPU_001362,0
SPU_001363,0
SPU_001364,0
SPU_001366,0
SPU_001367,0
SPU_001372,0
SPU_001376,0
SPU_001377,0
SPU_001381,0
SPU_001383,0
SPU_001385,0
SPU_001386,0
SPU_001387,0
SPU_001388,0
SPU_001389,0
SPU_001390,0
SPU_001391,0
SPU_001392,0
SPU_001394,0
SPU_001396,0
SPU_001397,0
SPU_001398,0
SPU_001399,0
SPU_001400,0
SPU_001401,0
SPU_001404,0
SPU_001407,0
SPU_001408,0
SPU_001409,0
SPU_001411,0
SPU_001412,0
SPU_001413,0
SPU_001414,0
SPU_001415,0
SPU_001417,0
SPU_001418,0
SPU_001420,0
SPU_001425,0
SPU_001426,0
SPU_001427,0
SPU_001429,0
SPU_001430,0
SPU_001432,0
SPU_001434,0
SPU_001436,1
SPU_001438,0
SPU_001439,0
SPU_001441,0
SPU_001442,0
SPU_001444,0
SPU_001445,0
SPU_001446,0
SPU_001447,0
SPU_001448,0
SPU_001449,0
SPU_001450,0
SPU_001452,1
SPU_001453,0
SPU_001454,0
SPU_001456,0
SPU_001458,0
SPU_001459,0
SPU_001461,0
SPU_001462,0
SPU_001463,0
SPU_001464,0
SPU_001467,1
SPU_001468,0
SPU_001476,0
SPU_001479,0
SPU_001481,0
SPU_001483,0
SPU_001485,0
SPU_001486,0
SPU_001487,0
SPU_001489,0
SPU_001490,0
SPU_001491,0
SPU_001493,0
SPU_001494,0
SPU_001496,0
SPU_001498,0
SPU_001499,0
SPU_001500,0
SPU_001502,0
SPU_001503,0
SPU_001504,0
SPU_001505,0
SPU_001506,0
SPU_001508,0
SPU_001511,0
SPU_001512,0
SPU_001513,0
SPU_001514,0
SPU_001515,0
SPU_001516,0
SPU_001518,0
SPU_001519,0
SPU_001525,0
SPU_001527,0
SPU_001528,0
SPU_001529,0
SPU_001530,0
SPU_001531,0
SPU_001532,0
SPU_001535,0
SPU_001538,0
SPU_001540,0
SPU_001541,0
SPU_001542,0
SPU_001544,0
SPU_001545,1
SPU_001546,0
SPU_001547,0
SPU_001548,1
SPU_001549,0
SPU_001551,0
SPU_001552,0
SPU_001554,0
SPU_001555,1
SPU_001557,0
SPU_001558,0
SPU_001559,0
SPU_001560,0
SPU_001561,0
SPU_001563,0
SPU_001564,0
SPU_001567,0
SPU_001570,0
SPU_001575,0
SPU_001577,0
SPU_001579,1
SPU_001580,0
SPU_001584,0
SPU_001585,0
SPU_001586,0
SPU_001587,0
SPU_001588,0
SPU_001591,0
SPU_001593,0
SPU_001595,0
SPU_001596,1
SPU_001597,0
SPU_001600,0
SPU_001601,0
SPU_001602,0
SPU_001603,0
SPU_001605,0
SPU_001606,0
SPU_001608,1
SPU_001609,0
SPU_001610,1
SPU_001611,0
SPU_001612,0
SPU_001613,0
SPU_001614,1
SPU_001621,0
SPU_001622,0
SPU_001623,0
SPU_001625,0
SPU_001626,0
SPU_001627,0
SPU_001628,0
SPU_001630,1
SPU_001631,0
SPU_001633,0
SPU_001634,0
SPU_001638,0
SPU_001639,0
SPU_001640,0
SPU_001641,0
SPU_001642,0
SPU_001643,0
SPU_001645,0
SPU_001646,0
SPU_001648,0
SPU_001650,0
SPU_001651,0
SPU_001654,0
SPU_001655,0
SPU_001658,0
SPU_001659,0
SPU_001664,0
SPU_001665,0
SPU_001667,0
SPU_001668,0
SPU_001669,0
SPU_001671,0
SPU_001672,0
SPU_001674,0
SPU_001675,0
SPU_001678,0
SPU_001680,0
