"geneid","binom"
"SPU_001513","0"
"SPU_001514","0"
"SPU_001515","0"
"SPU_001516","0"
"SPU_001517","1"
"SPU_001518","0"
"SPU_001521","1"
"SPU_001525","0"
"SPU_001528","0"
"SPU_001529","0"
"SPU_001530","0"
"SPU_001532","0"
"SPU_001533","0"
"SPU_001534","0"
"SPU_001535","0"
"SPU_001538","0"
"SPU_001539","0"
"SPU_001540","0"
"SPU_001541","0"
"SPU_001542","0"
"SPU_001543","0"
"SPU_001545","0"
"SPU_001546","0"
"SPU_001551","0"
"SPU_001552","0"
"SPU_001554","0"
"SPU_001555","0"
"SPU_001557","0"
"SPU_001558","0"
"SPU_001559","0"
"SPU_001561","0"
"SPU_001562","0"
"SPU_001568","0"
"SPU_001569","1"
"SPU_001570","0"
"SPU_001571","0"
"SPU_001572","0"
"SPU_001573","1"
"SPU_001577","0"
"SPU_001579","0"
"SPU_001582","0"
"SPU_001584","0"
"SPU_001585","0"
"SPU_001586","0"
"SPU_001591","0"
"SPU_001594","0"
"SPU_001595","0"
"SPU_001596","0"
"SPU_001597","0"
"SPU_001599","0"
"SPU_001600","0"
"SPU_001603","0"
"SPU_001605","0"
"SPU_001606","0"
"SPU_001612","0"
"SPU_001613","0"
"SPU_001614","0"
"SPU_001621","0"
"SPU_001622","0"
"SPU_001623","0"
"SPU_001624","0"
"SPU_001628","0"
"SPU_001629","0"
"SPU_001630","0"
"SPU_001631","0"
"SPU_001632","0"
"SPU_001633","0"
"SPU_001634","0"
"SPU_001638","0"
"SPU_001640","0"
"SPU_001641","0"
"SPU_001643","0"
"SPU_001645","0"
"SPU_001646","0"
"SPU_001648","0"
"SPU_001649","0"
"SPU_001652","1"
"SPU_001656","1"
"SPU_001657","0"
"SPU_001658","0"
"SPU_001660","1"
"SPU_001662","1"
"SPU_001664","0"
"SPU_001665","0"
"SPU_001667","0"
"SPU_001668","0"
"SPU_001669","0"
"SPU_001670","1"
"SPU_001672","0"
"SPU_001673","0"
"SPU_001675","0"
"SPU_001676","1"
"SPU_001677","0"
"SPU_001678","0"
"SPU_001679","0"
"SPU_001680","0"
"SPU_001681","0"
"SPU_001683","0"
"SPU_001684","1"
"SPU_001685","0"
"SPU_001690","0"
"SPU_001692","0"
"SPU_001694","0"
"SPU_001695","0"
"SPU_001696","0"
"SPU_001701","0"
"SPU_001703","1"
